GA_ID,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
92,625.6934449,641.5316567,657.3697799,673.2079461,689.0461271,704.8842944,720.7224423,736.5606286,752.3987785,768.2370023,768.6653207,774.0358043,779.4062073,784.7766608,805.997128,827.2176314,848.4381219,869.6586486,890.8791695,912.0996541,933.3201124,954.5406455,975.7611024,996.9816269,1018.202014,1039.422579,1060.64315,1081.863556,1103.08406,1124.304556,1145.525051,1166.745577,1187.966074,1209.186502,1230.407083,1251.627504,1272.848047,1294.068544,1315.289057,1336.509484,1357.729724
98,398.7837552,409.4359368,420.0881217,430.7402362,441.3924169,452.044576,462.6967968,473.3489497,484.0011026,494.6532721,494.9544954,498.3508356,501.747217,505.1435557,519.271648,533.3997437,547.5278409,561.6559441,575.7840859,589.9121116,604.0402301,618.168318,632.2964185,646.4244703,660.5525695,674.6806875,688.8087779,702.936831,717.0649601,731.1930197,745.3211495,759.449204,773.5772854,787.705397,801.8334375,815.9615487,830.0896548,844.2177943,858.3458439,872.4739357,886.6020283
99,681.6750811,699.0170212,716.3589387,733.7008101,751.0427651,768.3846597,785.7265856,803.0684936,820.4104531,837.7523617,838.1675313,844.0421915,849.9168866,855.7915806,879.2436889,902.6958502,926.1479297,949.5999826,973.0521079,996.5042584,1019.956409,1043.408449,1066.860602,1090.312706,1113.764757,1137.216879,1160.669004,1184.121131,1207.573275,1231.025311,1254.477555,1277.929601,1301.381728,1324.833833,1348.285896,1371.737978,1395.19006,1418.642291,1442.09416,1465.54664,1488.998482
101,1078.942494,1108.675453,1138.408449,1168.141457,1197.874487,1227.607409,1257.340453,1287.073385,1316.806516,1346.539506,1347.242607,1356.733251,1366.223746,1375.714059,1408.482311,1441.249674,1474.018075,1506.785503,1539.55377,1572.321338,1605.088883,1637.856745,1670.624679,1703.392513,1736.160416,1768.928386,1801.696277,1834.4642,1867.231826,1899.999632,1932.767411,1965.535368,1998.303245,2031.071195,2063.839015,2096.606912,2129.374462,2162.142456,2194.91041,2227.678252,2260.446125
100,164.7913287,168.5666322,172.3418912,176.1171989,179.8924965,183.6677973,187.4430968,191.218395,194.9936865,198.7690125,198.8922755,200.1639156,201.4355425,202.7072062,209.2489336,215.7906039,222.3323048,228.8739905,235.4157015,241.9573808,248.4990401,255.0407562,261.5824609,268.1241524,274.6658426,281.2075084,287.749226,294.2909161,300.8326366,307.3742921,313.9159828,320.4576908,326.9993914,333.5410962,340.0827616,346.6244778,353.1661648,359.707868,366.2495786,372.7912285,379.3329493
91,745.0642256,764.0266392,782.9890305,801.9513273,820.9137318,839.8760613,858.8384588,877.8008502,896.7631941,915.7255997,916.1825312,922.6035676,929.0245104,935.445678,959.9654138,984.4852454,1009.004902,1033.524758,1058.044474,1082.564265,1107.084062,1131.603782,1156.123675,1180.643399,1205.163171,1229.683054,1254.202854,1278.722486,1303.242557,1327.762321,1352.281815,1376.801578,1401.321625,1425.841347,1450.361031,1474.880544,1499.400594,1523.920464,1548.44015,1572.960054,1597.479711
107,714.5723198,733.7490721,752.9257941,772.1024988,791.2792596,810.4559663,829.6326809,848.8094001,867.9861302,887.1628779,887.6042158,893.8339677,900.0636997,906.2934658,930.8616509,955.4298717,979.998123,1004.566254,1029.134483,1053.702568,1078.2709,1102.839057,1127.407334,1151.975488,1176.543526,1201.111854,1225.680043,1250.248303,1274.816432,1299.384565,1323.952906,1348.52106,1373.089109,1397.657451,1422.225582,1446.793697,1471.362079,1495.930043,1520.498359,1545.06641,1569.634673
106,964.0630747,991.2121189,1018.361118,1045.510196,1072.659264,1099.808349,1126.95738,1154.106392,1181.255489,1208.404547,1209.030601,1217.542736,1226.054552,1234.566529,1265.032629,1295.498712,1325.964757,1356.430814,1386.896628,1417.362893,1447.828992,1478.295016,1508.76126,1539.226967,1569.69322,1600.159283,1630.62527,1661.091529,1691.557574,1722.023449,1752.489524,1782.955693,1813.42181,1843.887718,1874.353805,1904.820055,1935.286017,1965.752088,1996.218049,2026.684022,2057.150332
104,263.6739815,270.4923776,277.3107447,284.1291307,290.9475076,297.7658562,304.5842288,311.402636,318.2210157,325.039404,325.2436764,327.4211486,329.5986534,331.7761191,341.5711368,351.3660688,361.1611188,370.9561232,380.7511012,390.5460819,400.3410628,410.1360669,419.9310354,429.7260258,439.5209883,449.316043,459.1110217,468.9059888,478.7009667,488.4959582,498.2909935,508.0859787,517.8809368,527.67599,537.4709085,547.2659204,557.0609393,566.8559187,576.6508968,586.4458888,596.2408639
102,534.4532104,548.4168247,562.380471,576.344041,590.3076368,604.2712146,618.2348322,632.1984058,646.1620395,660.1256281,660.4960306,665.0861796,669.6762236,674.2663758,692.8112698,711.3562255,729.9011266,748.446077,766.9910217,785.5359046,804.0808366,822.6257726,841.1707177,859.7156147,878.2605477,896.8055076,915.3504374,933.8953038,952.4403647,970.9852074,989.5301332,1008.075134,1026.619995,1045.164928,1063.709843,1082.254805,1100.799712,1119.344658,1137.889599,1156.434445,1174.979461
96,1366.965394,1403.918707,1440.872255,1477.825885,1514.779234,1551.732891,1588.686487,1625.639828,1662.593242,1699.546747,1700.400652,1712.396131,1724.39136,1736.386835,1775.233678,1814.080745,1852.927458,1891.774532,1930.621572,1969.468802,2008.315452,2047.162479,2086.009292,2124.856424,2163.703217,2202.550284,2241.397385,2280.244122,2319.09127,2357.938218,2396.784962,2435.632065,2474.47895,2513.325742,2552.172685,2591.019666,2629.866274,2668.713587,2707.560605,2746.407395,2785.254158
105,1240.441809,1276.459537,1312.477479,1348.495209,1384.513143,1420.530846,1456.548573,1492.566514,1528.584174,1564.602114,1565.379835,1576.423607,1587.466984,1598.510252,1635.127517,1671.744034,1708.361291,1744.977815,1781.594839,1818.211467,1854.828392,1891.444898,1928.062014,1964.678741,2001.295387,2037.912521,2074.528946,2111.146089,2147.7628,2184.379624,2220.99639,2257.613261,2294.230077,2330.846596,2367.463748,2404.080868,2440.696911,2477.314183,2513.930964,2550.547785,2587.164806
109,516.9417416,530.9587273,544.9756667,558.9926203,573.0095427,587.0265303,601.0434432,615.0603786,629.0773732,643.0942899,643.4517639,647.9150106,652.3782451,656.8414339,674.9013115,692.9610904,711.0209838,729.0807288,747.1405033,765.2003595,783.2601423,801.3198816,819.3798078,837.4395364,855.4994033,873.5591274,891.6190403,909.6788149,927.7386682,945.7985299,963.8581723,981.9180582,999.9778429,1018.037686,1036.097442,1054.157266,1072.217034,1090.276831,1108.336625,1126.396484,1144.456227
103,626.1100533,642.2472622,658.3844416,674.5216263,690.6588269,706.7960102,722.9332347,739.0704151,755.2076106,771.3448283,771.7404949,777.1364089,782.532229,787.9281156,809.6307202,831.33341,853.0360017,874.7386938,896.4413399,918.1439932,939.8466119,961.5492261,983.2518925,1004.954536,1026.657124,1048.359834,1070.062492,1091.765089,1113.467779,1135.170346,1156.872994,1178.575706,1200.278296,1221.981017,1243.683498,1265.386118,1287.088946,1308.791535,1330.494248,1352.196948,1373.899266
113,434.6198795,446.5867583,458.5535539,470.5204615,482.4872992,494.4541509,506.4210317,518.3878557,530.3547284,542.3216006,542.6426159,546.3774167,550.1122255,553.847004,569.3044675,584.7618485,600.2192837,615.6766722,631.1340665,646.5914552,662.0488584,677.5063245,692.9636435,708.4211025,723.8785326,739.3359357,754.7933475,770.2507238,785.7081286,801.1655313,816.6229322,832.0803243,847.5377376,862.9951276,878.4525139,893.9099161,909.3673072,924.8247907,940.2821875,955.7395783,971.196926
119,1175.062263,1209.736545,1244.410799,1279.08522,1313.75955,1348.433965,1383.108221,1417.782572,1452.456831,1487.131136,1487.874841,1498.37745,1508.879564,1519.381837,1555.394917,1591.40827,1627.421346,1663.434558,1699.447765,1735.461151,1771.474061,1807.487471,1843.500751,1879.513847,1915.527078,1951.540379,1987.55334,2023.566568,2059.580069,2095.593216,2131.606279,2167.619446,2203.632669,2239.645808,2275.65899,2311.672475,2347.68529,2383.698685,2419.711861,2455.725086,2491.738333
